article_url,title,publish_date,week_label,collect_date,live_hog_price,live_hog_price_unit,corn_price,corn_price_unit,soymeal_price,soymeal_price_unit,parsing_method,raw_text_path,raw_html_path,validation_flag,validation_notes
https://www.moa.gov.cn/gk/jcyj/xm/201506/t20150625_4718289.htm,6月份第3周畜产品和饲料集贸市场价格情况,2015-06-23,6月第3周,2015-06-17,14.82,元/公斤,2.46,元/公斤,3.3,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2015-06-23_t20150625_4718289.txt,data/raw/moa_xm_weekly_articles/article_html/2015-06-23_t20150625_4718289.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201506/t20150610_4698104.htm,6月份第1周畜产品和饲料集贸市场价格情况,2015-06-09,6月第1周,2015-06-03,14.39,元/公斤,2.47,元/公斤,3.39,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2015-06-09_t20150610_4698104.txt,data/raw/moa_xm_weekly_articles/article_html/2015-06-09_t20150610_4698104.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201506/t20150605_4635692.htm,5月份第4周畜产品和饲料集贸市场价格情况,2015-06-02,5月第4周,2015-05-27,14.24,元/公斤,2.46,元/公斤,3.43,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2015-06-02_t20150605_4635692.txt,data/raw/moa_xm_weekly_articles/article_html/2015-06-02_t20150605_4635692.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201505/t20150527_4618070.htm,5月份第3周畜产品和饲料集贸市场价格情况,2015-05-26,5月第3周,2015-05-20,14.05,元/公斤,2.46,元/公斤,3.46,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2015-05-26_t20150527_4618070.txt,data/raw/moa_xm_weekly_articles/article_html/2015-05-26_t20150527_4618070.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201505/t20150519_4603353.htm,5月份第2周畜产品和饲料集贸市场价格情况,2015-05-19,5月第2周,2015-05-13,13.82,元/公斤,2.46,元/公斤,3.48,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2015-05-19_t20150519_4603353.txt,data/raw/moa_xm_weekly_articles/article_html/2015-05-19_t20150519_4603353.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201505/t20150512_4590577.htm,5月份第1周畜产品和饲料集贸市场价格情况,2015-05-12,5月第1周,2015-05-06,13.58,元/公斤,2.45,元/公斤,3.5,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2015-05-12_t20150512_4590577.txt,data/raw/moa_xm_weekly_articles/article_html/2015-05-12_t20150512_4590577.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201505/t20150505_4579352.htm,4月份最后一周畜产品和饲料集贸市场价格情况,2015-05-05,4月最后一周,2015-04-29,13.4,元/公斤,2.44,元/公斤,3.51,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2015-05-05_t20150505_4579352.txt,data/raw/moa_xm_weekly_articles/article_html/2015-05-05_t20150505_4579352.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201504/t20150428_4566082.htm,4月份第4周畜产品和饲料集贸市场价格情况,2015-04-28,4月第4周,2015-04-22,13.11,元/公斤,2.44,元/公斤,3.52,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2015-04-28_t20150428_4566082.txt,data/raw/moa_xm_weekly_articles/article_html/2015-04-28_t20150428_4566082.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201504/t20150421_4537916.htm,4月份第3周畜产品和饲料集贸市场价格情况,2015-04-21,4月第3周,2015-04-15,12.8,元/公斤,2.44,元/公斤,3.54,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2015-04-21_t20150421_4537916.txt,data/raw/moa_xm_weekly_articles/article_html/2015-04-21_t20150421_4537916.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201504/t20150414_4525811.htm,4月份第2周畜产品和饲料集贸市场价格情况,2015-04-14,4月第2周,2015-04-08,12.68,元/公斤,2.44,元/公斤,3.56,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2015-04-14_t20150414_4525811.txt,data/raw/moa_xm_weekly_articles/article_html/2015-04-14_t20150414_4525811.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201504/t20150407_4491838.htm,4月份第1周畜产品和饲料集贸市场价格情况,2015-04-07,4月第1周,2015-04-01,12.56,元/公斤,2.43,元/公斤,3.57,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2015-04-07_t20150407_4491838.txt,data/raw/moa_xm_weekly_articles/article_html/2015-04-07_t20150407_4491838.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201504/t20150401_4467727.htm,3月份第4周畜产品和饲料集贸市场价格情况,2015-03-31,3月第4周,2015-03-25,12.29,元/公斤,2.43,元/公斤,3.58,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2015-03-31_t20150401_4467727.txt,data/raw/moa_xm_weekly_articles/article_html/2015-03-31_t20150401_4467727.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201503/t20150324_4455035.htm,3月份第3周畜产品和饲料集贸市场价格情况,2015-03-24,3月第3周,2015-03-18,12.16,元/公斤,2.41,元/公斤,3.58,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2015-03-24_t20150324_4455035.txt,data/raw/moa_xm_weekly_articles/article_html/2015-03-24_t20150324_4455035.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201503/t20150317_4442958.htm,3月份第2周畜产品和饲料集贸市场价格情况,2015-03-17,3月第2周,2015-03-11,12.23,元/公斤,2.41,元/公斤,3.59,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2015-03-17_t20150317_4442958.txt,data/raw/moa_xm_weekly_articles/article_html/2015-03-17_t20150317_4442958.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201503/t20150310_4432576.htm,3月份第1周畜产品和饲料集贸市场价格情况,2015-03-10,3月第1周,2015-03-04,12.4,元/公斤,2.41,元/公斤,3.6,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2015-03-10_t20150310_4432576.txt,data/raw/moa_xm_weekly_articles/article_html/2015-03-10_t20150310_4432576.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201503/t20150302_4421939.htm,2月份第4周畜产品和饲料集贸市场价格情况,2015-03-03,2月第4周,2015-02-25,12.56,元/公斤,2.41,元/公斤,3.59,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2015-03-03_t20150302_4421939.txt,data/raw/moa_xm_weekly_articles/article_html/2015-03-03_t20150302_4421939.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201502/t20150226_4416706.htm,2月份第3周畜产品和饲料集贸市场价格情况,2015-02-24,2月第3周,2015-02-17,12.62,元/公斤,2.41,元/公斤,3.59,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2015-02-24_t20150226_4416706.txt,data/raw/moa_xm_weekly_articles/article_html/2015-02-24_t20150226_4416706.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201502/t20150215_4411044.htm,2015年2月份第2周畜产品和饲料集贸市场价格情况,2015-02-16,2月第2周,2015-02-11,12.68,元/公斤,2.4,元/公斤,3.59,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2015-02-16_t20150215_4411044.txt,data/raw/moa_xm_weekly_articles/article_html/2015-02-16_t20150215_4411044.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201502/t20150211_4403695.htm,2015年2月份第1周畜产品和饲料集贸市场价格情况,2015-02-10,2月第1周,2015-02-04,12.99,元/公斤,2.41,元/公斤,3.62,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2015-02-10_t20150211_4403695.txt,data/raw/moa_xm_weekly_articles/article_html/2015-02-10_t20150211_4403695.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201502/t20150202_4392280.htm,2015年1月份第4周畜产品和饲料集贸市场价格情况,2015-02-03,1月第4周,2015-01-28,13.2,元/公斤,2.41,元/公斤,3.67,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2015-02-03_t20150202_4392280.txt,data/raw/moa_xm_weekly_articles/article_html/2015-02-03_t20150202_4392280.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201501/t20150127_4353460.htm,2015年1月份第3周畜产品和饲料集贸市场价格情况,2015-01-27,1月第3周,2015-01-21,13.39,元/公斤,2.42,元/公斤,3.71,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2015-01-27_t20150127_4353460.txt,data/raw/moa_xm_weekly_articles/article_html/2015-01-27_t20150127_4353460.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201501/t20150120_4342513.htm,2015年1月份第2周畜产品和饲料集贸市场价格情况,2015-01-20,1月第2周,2015-01-14,13.47,元/公斤,2.43,元/公斤,3.76,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2015-01-20_t20150120_4342513.txt,data/raw/moa_xm_weekly_articles/article_html/2015-01-20_t20150120_4342513.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201501/t20150112_4331676.htm,2015年1月份第1周畜产品和饲料集贸市场价格情况,2015-01-13,1月第1周,2015-01-07,13.47,元/公斤,2.44,元/公斤,3.79,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2015-01-13_t20150112_4331676.txt,data/raw/moa_xm_weekly_articles/article_html/2015-01-13_t20150112_4331676.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201501/t20150106_4323974.htm,2014年12月份最后一周畜产品和饲料集贸市场价格情况,2015-01-06,12月最后一周,2015-12-31,13.52,元/公斤,2.45,元/公斤,3.82,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2015-01-06_t20150106_4323974.txt,data/raw/moa_xm_weekly_articles/article_html/2015-01-06_t20150106_4323974.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201412/t20141229_4314615.htm,2014年12月份第4周畜产品和饲料集贸市场价格情况,2014-12-30,12月第4周,2014-12-24,13.7,元/公斤,2.46,元/公斤,3.84,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2014-12-30_t20141229_4314615.txt,data/raw/moa_xm_weekly_articles/article_html/2014-12-30_t20141229_4314615.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201412/t20141224_4307643.htm,2014年12月份第3周畜产品和饲料集贸市场价格情况,2014-12-23,12月第3周,2014-12-17,13.86,元/公斤,2.47,元/公斤,3.87,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2014-12-23_t20141224_4307643.txt,data/raw/moa_xm_weekly_articles/article_html/2014-12-23_t20141224_4307643.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201412/t20141216_4295524.htm,2014年12月份第2周畜产品和饲料集贸市场价格情况,2014-12-16,12月第2周,2014-12-10,13.97,元/公斤,2.48,元/公斤,3.88,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2014-12-16_t20141216_4295524.txt,data/raw/moa_xm_weekly_articles/article_html/2014-12-16_t20141216_4295524.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201412/t20141208_4285327.htm,2014年12月份第1周畜产品和饲料集贸市场价格情况,2014-12-09,12月第1周,2014-12-03,14.0,元/公斤,2.49,元/公斤,3.9,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2014-12-09_t20141208_4285327.txt,data/raw/moa_xm_weekly_articles/article_html/2014-12-09_t20141208_4285327.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201412/t20141202_4262864.htm,2014年11月第4周畜产品和饲料集贸市场价格情况,2014-12-02,11月第4周,2014-11-26,14.07,元/公斤,2.49,元/公斤,3.92,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2014-12-02_t20141202_4262864.txt,data/raw/moa_xm_weekly_articles/article_html/2014-12-02_t20141202_4262864.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201411/t20141124_4250015.htm,2014年11月第3周畜产品和饲料集贸市场价格情况,2014-11-25,11月第3周,2014-11-19,14.13,元/公斤,2.5,元/公斤,3.94,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2014-11-25_t20141124_4250015.txt,data/raw/moa_xm_weekly_articles/article_html/2014-11-25_t20141124_4250015.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201411/t20141119_4212901.htm,2014年11月第2周畜产品和饲料集贸市场价格情况,2014-11-18,11月第2周,2014-11-12,14.1,元/公斤,2.51,元/公斤,3.94,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2014-11-18_t20141119_4212901.txt,data/raw/moa_xm_weekly_articles/article_html/2014-11-18_t20141119_4212901.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201411/t20141113_4138799.htm,2014年11月份第1周畜产品和饲料集贸市场价格情况,2014-11-11,11月第1周,2014-11-05,14.04,元/公斤,2.53,元/公斤,3.93,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2014-11-11_t20141113_4138799.txt,data/raw/moa_xm_weekly_articles/article_html/2014-11-11_t20141113_4138799.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201405/t20140513_3901830.htm,2014年5月份第1周畜产品和饲料集贸市场价格情况,2014-05-13,5月第1周,2014-05-07,11.68,元/公斤,2.38,元/公斤,4.11,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2014-05-13_t20140513_3901830.txt,data/raw/moa_xm_weekly_articles/article_html/2014-05-13_t20140513_3901830.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201405/t20140505_3892325.htm,2014年4月份最后一周畜产品和饲料集贸市场价格情况,2014-05-05,4月最后一周,2014-04-30,11.0,元/公斤,2.36,元/公斤,4.07,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2014-05-05_t20140505_3892325.txt,data/raw/moa_xm_weekly_articles/article_html/2014-05-05_t20140505_3892325.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201404/t20140429_3888762.htm,2014年4月份第4周畜产品和饲料集贸市场价格情况,2014-04-29,4月第4周,2014-04-23,10.97,元/公斤,2.36,元/公斤,4.05,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2014-04-29_t20140429_3888762.txt,data/raw/moa_xm_weekly_articles/article_html/2014-04-29_t20140429_3888762.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201404/t20140422_3880372.htm,2014年4月份第3周畜产品和饲料集贸市场价格情况,2014-04-22,4月第3周,2014-04-16,11.05,元/公斤,2.35,元/公斤,4.05,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2014-04-22_t20140422_3880372.txt,data/raw/moa_xm_weekly_articles/article_html/2014-04-22_t20140422_3880372.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201404/t20140414_3849859.htm,2014年4月份第2周畜产品和饲料集贸市场价格情况,2014-04-14,4月第2周,2014-04-09,11.21,元/公斤,2.35,元/公斤,4.05,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2014-04-14_t20140414_3849859.txt,data/raw/moa_xm_weekly_articles/article_html/2014-04-14_t20140414_3849859.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201404/t20140409_3844703.htm,2014年4月份第1周畜产品和饲料集贸市场价格情况,2014-04-09,4月第1周,2014-04-02,11.35,元/公斤,2.36,元/公斤,4.05,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2014-04-09_t20140409_3844703.txt,data/raw/moa_xm_weekly_articles/article_html/2014-04-09_t20140409_3844703.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201403/t20140331_3834963.htm,2014年3月份第4周畜产品和饲料集贸市场价格情况,2014-03-31,3月第4周,2014-03-26,11.59,元/公斤,2.36,元/公斤,4.05,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2014-03-31_t20140331_3834963.txt,data/raw/moa_xm_weekly_articles/article_html/2014-03-31_t20140331_3834963.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201403/t20140324_3826827.htm,2014年3月份第3周畜产品和饲料集贸市场价格情况,2014-03-24,3月第3周,2014-03-19,11.91,元/公斤,2.36,元/公斤,4.09,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2014-03-24_t20140324_3826827.txt,data/raw/moa_xm_weekly_articles/article_html/2014-03-24_t20140324_3826827.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201403/t20140317_3816389.htm,2014年3月份第2周畜产品和饲料集贸市场价格情况,2014-03-17,3月第2周,2014-03-12,12.19,元/公斤,2.37,元/公斤,4.14,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2014-03-17_t20140317_3816389.txt,data/raw/moa_xm_weekly_articles/article_html/2014-03-17_t20140317_3816389.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201403/t20140311_3810039.htm,2014年3月份第1周畜产品和饲料集贸市场价格情况,2014-03-11,3月第1周,2014-03-05,12.51,元/公斤,2.37,元/公斤,4.19,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2014-03-11_t20140311_3810039.txt,data/raw/moa_xm_weekly_articles/article_html/2014-03-11_t20140311_3810039.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201403/t20140305_3804966.htm,2014年2月份第4周畜产品和饲料集贸市场价格情况,2014-03-05,2月第4周,2014-03-05,12.51,元/公斤,2.37,元/公斤,4.19,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2014-03-05_t20140305_3804966.txt,data/raw/moa_xm_weekly_articles/article_html/2014-03-05_t20140305_3804966.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201402/t20140226_3797653.htm,2014年2月份第3周畜产品和饲料集贸市场价格情况,2014-02-26,2月第3周,2014-02-19,13.06,元/公斤,2.38,元/公斤,4.25,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2014-02-26_t20140226_3797653.txt,data/raw/moa_xm_weekly_articles/article_html/2014-02-26_t20140226_3797653.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201402/t20140218_3769006.htm,2014年2月份第2周畜产品和饲料集贸市场价格情况,2014-02-18,2月第2周,2014-02-12,13.23,元/公斤,2.38,元/公斤,4.26,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2014-02-18_t20140218_3769006.txt,data/raw/moa_xm_weekly_articles/article_html/2014-02-18_t20140218_3769006.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201402/t20140210_3754662.htm,2014年2月份第1周畜产品和饲料集贸市场价格情况,2014-02-10,2月第1周,2014-02-07,13.34,元/公斤,2.38,元/公斤,4.26,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2014-02-10_t20140210_3754662.txt,data/raw/moa_xm_weekly_articles/article_html/2014-02-10_t20140210_3754662.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201402/t20140207_3752988.htm,2014年1月份第5周畜产品和饲料集贸市场价格情况,2014-02-07,1月第5周,2014-01-29,13.43,元/公斤,2.39,元/公斤,4.26,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2014-02-07_t20140207_3752988.txt,data/raw/moa_xm_weekly_articles/article_html/2014-02-07_t20140207_3752988.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201401/t20140127_3750186.htm,2014年1月份第4周畜产品和饲料集贸市场价格情况,2014-01-27,1月第4周,2014-01-22,13.73,元/公斤,2.39,元/公斤,4.27,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2014-01-27_t20140127_3750186.txt,data/raw/moa_xm_weekly_articles/article_html/2014-01-27_t20140127_3750186.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201401/t20140120_3743497.htm,2014年1月份第3周畜产品和饲料集贸市场价格情况,2014-01-20,1月第3周,2014-01-15,14.38,元/公斤,2.39,元/公斤,4.29,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2014-01-20_t20140120_3743497.txt,data/raw/moa_xm_weekly_articles/article_html/2014-01-20_t20140120_3743497.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201401/t20140114_3738836.htm,2014年1月份第2周畜产品和饲料集贸市场价格情况,2014-01-14,1月第2周,2014-01-08,15.11,元/公斤,2.4,元/公斤,4.33,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2014-01-14_t20140114_3738836.txt,data/raw/moa_xm_weekly_articles/article_html/2014-01-14_t20140114_3738836.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201401/t20140107_3733028.htm,2014年1月份第1周畜产品和饲料集贸市场价格情况,2014-01-07,1月第1周,2014-01-01,15.63,元/公斤,2.41,元/公斤,4.37,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2014-01-07_t20140107_3733028.txt,data/raw/moa_xm_weekly_articles/article_html/2014-01-07_t20140107_3733028.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201312/t20131231_3727770.htm,2013年12月份第4周畜产品和饲料集贸市场价格情况,2013-12-31,12月第4周,2013-12-25,15.81,元/公斤,2.41,元/公斤,4.4,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2013-12-31_t20131231_3727770.txt,data/raw/moa_xm_weekly_articles/article_html/2013-12-31_t20131231_3727770.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201312/t20131224_3722038.htm,2013年12月份第3周畜产品和饲料集贸市场价格情况,2013-12-24,12月第3周,2013-12-18,15.91,元/公斤,2.41,元/公斤,4.43,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2013-12-24_t20131224_3722038.txt,data/raw/moa_xm_weekly_articles/article_html/2013-12-24_t20131224_3722038.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201312/t20131217_3716980.htm,2013年12月份第2周畜产品和饲料集贸市场价格情况,2013-12-17,12月第2周,2013-12-11,15.99,元/公斤,2.41,元/公斤,4.44,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2013-12-17_t20131217_3716980.txt,data/raw/moa_xm_weekly_articles/article_html/2013-12-17_t20131217_3716980.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201312/t20131209_3706527.htm,2013年12月份第1周畜产品和饲料集贸市场价格情况,2013-12-09,12月第1周,2013-12-04,15.98,元/公斤,2.42,元/公斤,4.46,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2013-12-09_t20131209_3706527.txt,data/raw/moa_xm_weekly_articles/article_html/2013-12-09_t20131209_3706527.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201312/t20131202_3694149.htm,2013年11月份第4周畜产品和饲料集贸市场价格情况,2013-12-02,11月第4周,2013-11-27,15.9,元/公斤,2.42,元/公斤,4.48,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2013-12-02_t20131202_3694149.txt,data/raw/moa_xm_weekly_articles/article_html/2013-12-02_t20131202_3694149.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201311/t20131119_3680420.htm,2013年11月份第2周畜产品和饲料集贸市场价格情况,2013-11-19,11月第2周,2013-11-13,15.7,元/公斤,2.43,元/公斤,4.51,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2013-11-19_t20131119_3680420.txt,data/raw/moa_xm_weekly_articles/article_html/2013-11-19_t20131119_3680420.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201310/t20131022_3636370.htm,2013年10月份第3周畜产品和饲料集贸市场价格情况,2013-10-22,10月第3周,2013-10-16,15.86,元/公斤,2.46,元/公斤,4.55,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2013-10-22_t20131022_3636370.txt,data/raw/moa_xm_weekly_articles/article_html/2013-10-22_t20131022_3636370.html,ok,
https://www.moa.gov.cn/gk/jcyj/xm/201310/t20131009_3623987.htm,2013年10月份第1周畜产品和饲料集贸市场价格情况,2013-10-09,10月第1周,2013-10-02,16.0,元/公斤,2.48,元/公斤,4.48,元/公斤,table,data/raw/moa_xm_weekly_articles/article_text/2013-10-09_t20131009_3623987.txt,data/raw/moa_xm_weekly_articles/article_html/2013-10-09_t20131009_3623987.html,ok,
